Id,Prediction
1,67028
2,80268
3,86603
4,74180
5,66054
6,74975
7,82639
8,49288
9,58596
10,48326
11,86550
12,62731
13,48779
14,71230
15,45514
16,69546
17,95797
18,25732
19,44920
20,27525
21,45265
22,59801
23,50750
24,72272
25,54186
26,100586
27,71254
28,81526
29,69277
30,74898
31,66601
32,68295
33,146854
34,113935
35,96472
36,108508
37,40724
38,88613
39,91763
40,103051
41,64155
42,85421
43,70460
44,142765
45,88557
46,75571
47,44277
48,47102
49,64055
50,73565
51,42664
52,53754
53,61284
54,59067
55,66496
56,68442
57,79817
58,63745
59,68480
60,40455
61,62661
62,71071
63,61168
64,61375
65,70379
66,96164
67,61578
68,71096
69,60995
70,143403
71,81626
72,67713
73,61730
74,59943
75,53844
76,84550
77,107905
78,60334
79,64480
80,70043
81,62892
82,58901
83,71142
84,86852
85,76921
86,140643
87,63194
88,63670
89,61349
90,68125
91,94535
92,73972
93,98044
94,87664
95,72607
96,97208
97,88490
98,64661
99,110803
100,91177
101,160647
102,94541
103,73382
104,84163
105,62825
106,61327
107,125976
108,55253
109,88317
110,50680
111,30151
112,87936
113,94186
114,47944
115,69453
116,41317
117,33222
118,62927
119,68389
120,67796
121,59470
122,54661
123,54569
124,54677
125,55157
126,52084
127,44003
128,66647
129,62947
130,94597
131,66033
132,81311
133,67416
134,66877
135,76601
136,66073
137,85452
138,100495
139,48443
140,82941
141,112741
142,65650
143,61868
144,65962
145,47722
146,59471
147,155636
148,67071
149,68401
150,60601
151,96388
152,62127
153,68947
154,69516
155,82567
156,100762
157,101541
158,33411
159,43312
160,70174
161,68540
162,59367
163,125143
164,73061
165,77849
166,90726
167,104424
168,93522
169,95674
170,67741
171,50386
172,93431
173,383205
174,84183
175,66558
176,199682
177,167725
178,137972
179,55451
180,94208
181,91828
182,98879
183,54227
184,81095
185,100643
186,57605
187,158775
188,353475
189,177396
190,62673
191,111337
192,78995
193,121505
194,319016
195,99590
196,65943
197,117295
198,195092
199,134873
200,259081
201,73622
202,74524
203,128152
204,239771
205,78761
206,97898
207,260081
208,168964
209,178222
210,285595
211,342496
212,138961
213,103357
214,84705
215,115528
216,500379
217,99016
218,73262
219,88567
220,97677
221,403772
222,99810
223,135136
224,127272
225,104956
226,83395
227,65561
228,85338
229,143311
230,91622
231,113653
232,81849
233,145355
234,115368
235,66481
236,149741
237,146899
238,66900
239,88232
240,94929
241,248368
242,65358
243,51569
244,61132
245,66862
246,61899
247,90172
248,113128
249,131072
250,145240
251,190189
252,68889
253,126120
254,111070
255,159274
256,220603
257,124473
258,200398
259,184096
260,235767
261,500049
262,69936
263,322216
264,148221
265,22941
266,77067
267,50109
268,230649
269,345579
270,116833
271,113810
272,173602
273,198531
274,67700
275,169205
276,240672
277,194709
278,161307
279,157096
280,66450
281,82228
282,123025
283,214828
284,158552
285,143868
286,217531
287,309469
288,112031
289,42515
290,173975
291,187747
292,215451
293,63519
294,221419
295,90906
296,232649
297,206901
298,100190
299,275229
300,84768
301,91779
302,168681
303,200118
304,119432
305,202962
306,57617
307,163194
308,198526
309,148634
310,58275
311,91908
312,171351
313,165161
314,171182
315,285994
316,187216
317,73454
318,55091
319,131306
320,128529
321,249259
322,260632
323,176955
324,227082
325,225638
326,128900
327,55408
328,140546
329,166826
330,172080
331,197265
332,72766
333,81708
334,147059
335,82203
336,138225
337,211729
338,158444
339,186102
340,293865
341,55126
342,78094
343,189726
344,99475
345,72594
346,128334
347,94529
348,234739
349,168113
350,189757
351,147138
352,154161
353,295402
354,307907
355,194139
356,124393
357,190316
358,147964
359,131599
360,140318
361,160467
362,174478
363,170264
364,232017
365,209786
366,316903
367,300987
368,143995
369,145921
370,178923
371,165563
372,156115
373,184828
374,161202
375,159483
376,181475
377,95884
378,122223
379,113506
380,240416
381,212082
382,150102
383,119490
384,163780
385,171424
386,125782
387,141328
388,142874
389,79416
390,153902
391,138440
392,119526
393,120130
394,227970
395,177472
396,166692
397,148439
398,160019
399,137535
400,110703
401,193462
402,229919
403,116603
404,96252
405,74553
406,96720
407,110024
408,86630
409,90249
410,91463
411,94845
412,174768
413,117630
414,223491
415,129865
416,169651
417,145855
418,108846
419,148161
420,100447
421,123281
422,138532
423,296659
424,303737
425,266869
426,157116
427,89438
428,45357
429,82121
430,83772
431,76721
432,88547
433,87479
434,187101
435,158999
436,160479
437,166917
438,153094
439,135132
440,124445
441,121323
442,133962
443,124435
444,139393
445,133275
446,112161
447,91791
448,73495
449,74841
450,86586
451,76965
452,288229
453,112953
454,111723
455,113634
456,113296
457,139528
458,136689
459,227140
460,229883
461,271071
462,187519
463,176311
464,234395
465,153389
466,134369
467,118163
468,316972
469,89909
470,73457
471,68817
472,140192
473,108263
474,86385
475,151943
476,153500
477,147083
478,134697
479,164966
480,189937
481,379823
482,214698
483,171283
484,174037
485,162644
486,175362
487,223747
488,121764
489,70787
490,69682
491,157689
492,196046
493,147990
494,113485
495,70146
496,77466
497,97839
498,43904
499,182285
500,134224
501,155445
502,201350
503,250865
504,195964
505,165498
506,166186
507,223260
508,302242
509,215786
510,190248
511,154043
512,170303
513,143317
514,150451
515,169682
516,114079
517,150471
518,194107
519,69642
520,87316
521,95313
522,419201
523,150992
524,141215
525,150907
526,241725
527,173869
528,227788
529,189239
530,119147
531,144026
532,123514
533,131208
534,264217
535,170458
536,55584
537,72319
538,71397
539,135679
540,119167
541,362705
542,378537
543,152199
544,143395
545,122196
546,185886
547,193599
548,169489
549,160807
550,85006
551,160040
552,155782
553,236264
554,150199
555,164980
556,223829
557,190208
558,152983
559,178145
560,135612
561,121228
562,132618
563,129311
564,132943
565,121166
566,267167
567,294632
568,222271
569,15278
570,62563
571,70110
572,192247
573,105961
574,109467
575,121653
576,112924
577,135327
578,337596
579,160883
580,148765
581,164637
582,181738
583,182746
584,169847
585,177767
586,147995
587,158672
588,163894
589,185858
590,154209
591,217362
592,144746
593,119859
594,141558
595,127197
596,119450
597,126054
598,267451
599,245302
600,273624
601,282231
602,98363
603,77394
604,101862
605,220415
606,114304
607,188267
608,243986
609,212985
610,248371
611,182221
612,209768
613,220625
614,174813
615,221002
616,171604
617,161301
618,118351
619,187681
620,130813
621,129806
622,123799
623,142762
624,155391
625,126362
626,121154
627,100389
628,103820
629,110793
630,176117
631,179589
632,156707
633,267116
634,291169
635,214381
636,228473
637,167021
638,67586
639,98740
640,92679
641,104379
642,105317
643,132537
644,150370
645,336465
646,296742
647,342310
648,315203
649,193693
650,175863
651,436723
652,178077
653,254271
654,244243
655,147437
656,307431
657,144041
658,145678
659,142325
660,152441
661,144089
662,132236
663,140757
664,137612
665,110217
666,159244
667,89959
668,115425
669,138059
670,304536
671,248098
672,226137
673,181620
674,161065
675,152135
676,140366
677,153802
678,132131
679,152912
680,93667
681,68399
682,62850
683,112143
684,105066
685,107161
686,116889
687,348542
688,268555
689,265442
690,136522
691,167724
692,98882
693,170512
694,224384
695,278985
696,400644
697,260842
698,211786
699,429611
700,195192
701,166637
702,168548
703,178868
704,197315
705,229139
706,249616
707,330877
708,180439
709,95242
710,162320
711,159178
712,148588
713,159894
714,134220
715,140392
716,137863
717,143119
718,116050
719,134677
720,134464
721,117645
722,165993
723,145115
724,144033
725,130220
726,150547
727,165552
728,137817
729,153965
730,160647
731,144769
732,139794
733,130017
734,132738
735,99202
736,133343
737,137617
738,139525
739,115562
740,135221
741,60074
742,89776
743,127108
744,117114
745,95027
746,145800
747,175742
748,147625
749,144470
750,263356
751,278019
752,266023
753,121800
754,261685
755,209381
756,181322
757,192654
758,235470
759,222388
760,391477
761,332531
762,162543
763,162710
764,151397
765,157224
766,126216
767,130170
768,127108
769,117215
770,126087
771,145786
772,159844
773,158425
774,155538
775,114149
776,126729
777,125236
778,125718
779,235071
780,187087
781,160545
782,170581
783,190610
784,128582
785,108762
786,94613
787,107544
788,148515
789,107672
790,142538
791,123986
792,95948
793,141718
794,157127
795,125913
796,141078
797,109773
798,115093
799,112573
800,158491
801,181271
802,160960
803,138150
804,135361
805,146649
806,187721
807,127191
808,140147
809,142579
810,444838
811,211036
812,328364
813,269334
814,148460
815,294318
816,170374
817,242473
818,281849
819,478131
820,168950
821,181141
822,195923
823,268739
824,219120
825,184104
826,168359
827,186053
828,177574
829,138143
830,120064
831,154297
832,121506
833,144775
834,117314
835,154827
836,142114
837,90034
838,109272
839,123905
840,143423
841,118939
842,153996
843,135802
844,142821
845,96156
846,113000
847,205628
848,150479
849,173466
850,130196
851,155829
852,145737
853,157294
854,156323
855,135593
856,128603
857,68109
858,97015
859,132110
860,93842
861,142799
862,80303
863,500252
864,116109
865,123708
866,148890
867,272755
868,157697
869,154999
870,161611
871,114231
872,145737
873,115178
874,117696
875,115386
876,128422
877,178774
878,249404
879,264354
880,137511
881,229811
882,138718
883,161418
884,238708
885,246506
886,308884
887,328246
888,248837
889,261372
890,272207
891,184706
892,222841
893,220018
894,184200
895,155908
896,140678
897,125076
898,118305
899,128146
900,95867
901,126924
902,124715
903,122367
904,123343
905,111576
906,86410
907,98973
908,97437
909,111476
910,117571
911,112440
912,122721
913,119017
914,104074
915,124301
916,147298
917,150291
918,142607
919,140296
920,159815
921,146387
922,150546
923,159228
924,152065
925,149985
926,122267
927,153031
928,134948
929,131950
930,88757
931,88193
932,103646
933,90581
934,138201
935,130623
936,123277
937,172219
938,177563
939,217013
940,201415
941,268952
942,255836
943,282338
944,255498
945,264671
946,289166
947,174400
948,131457
949,170398
950,171239
951,170217
952,165926
953,216615
954,292430
955,203653
956,223183
957,159681
958,123254
959,119269
960,85076
961,105262
962,95970
963,95768
964,93594
965,124158
966,103370
967,112087
968,97557
969,106944
970,94464
971,108941
972,108800
973,121521
974,100866
975,105415
976,117367
977,109311
978,136651
979,127480
980,150599
981,146151
982,146653
983,142972
984,147574
985,57999
986,150665
987,67947
988,130161
989,130599
990,119783
991,113108
992,135957
993,140337
994,138973
995,160726
996,145352
997,113108
998,109352
999,96943
1000,307828
1001,169644
1002,184517
1003,161421
1004,160480
1005,275650
1006,261694
1007,85806
1008,168020
1009,185254
1010,179930
1011,281930
1012,271587
1013,152055
1014,140130
1015,85759
1016,95420
1017,99677
1018,103778
1019,92532
1020,90785
1021,94391
1022,93969
1023,103342
1024,137311
1025,93485
1026,88460
1027,87294
1028,96427
1029,87428
1030,98709
1031,104221
1032,83292
1033,93773
1034,90709
1035,98499
1036,89762
1037,109314
1038,111395
1039,93866
1040,106798
1041,134739
1042,88197
1043,137685
1044,128187
1045,121462
1046,133310
1047,145429
1048,133731
1049,147343
1050,111920
1051,149529
1052,140349
1053,161635
1054,96293
1055,71363
1056,299012
1057,223165
1058,191752
1059,190975
1060,200446
